Posición,Categoría,Grupo
Delantero,1 vs 1 Ofensivos Totales,Ofensivo
Defensa central,1 vs 1 Ofensivos Totales,Ofensivo
Lateral por derecha,Centros Totales,Ofensivo
Volante por derecha,Centros Totales,Ofensivo
Volante defensivo,1 vs 1 Ofensivos Totales,Ofensivo
Lateral por izquierda,Centros Totales,Ofensivo
Volante ofensivo,1 vs 1 Ofensivos Totales,Ofensivo
Volante por izquierda,Centros Totales,Ofensivo
Delantero,Balones Recuperados 1/4 De Cancha,Defensivo
Defensa central,Balones Recuperados 1/4 De Cancha,Defensivo
Lateral por derecha,Balones Recuperados 1/4 De Cancha,Defensivo
Volante por derecha,Balones Recuperados 1/4 De Cancha,Defensivo
Volante defensivo,Balones Recuperados 1/4 De Cancha,Defensivo
Lateral por izquierda,Balones Recuperados 1/4 De Cancha,Defensivo
Volante ofensivo,Balones Recuperados 1/4 De Cancha,Defensivo
Volante por izquierda,Balones Recuperados 1/4 De Cancha,Defensivo
Delantero,Total Pases Acertados,Posesión
Defensa central,Total Pases Acertados,Posesión
Lateral por derecha,Total Pases Acertados,Posesión
Volante por derecha,Total Pases Acertados,Posesión
Volante defensivo,Total Pases Acertados,Posesión
Lateral por izquierda,Total Pases Acertados,Posesión
Volante ofensivo,Total Pases Acertados,Posesión
Volante por izquierda,Total Pases Acertados,Posesión
Delantero,Balones Perdidos 1/4 De Cancha,Conducción
Defensa central,Balones Perdidos 1/4 De Cancha,Conducción
Lateral por derecha,Balones Perdidos 1/4 De Cancha,Conducción
Volante por derecha,Balones Perdidos 1/4 De Cancha,Conducción
Volante defensivo,Balones Perdidos 1/4 De Cancha,Conducción
Lateral por izquierda,Balones Perdidos 1/4 De Cancha,Conducción
Volante ofensivo,Balones Perdidos 1/4 De Cancha,Conducción
Volante por izquierda,Balones Perdidos 1/4 De Cancha,Conducción
Delantero,1 vs 1 Exitosos Ofensivos,Ofensivo
Defensa central,1 vs 1 Exitosos Ofensivos,Ofensivo
Lateral por derecha,Centros totales ganados por un compañero,Ofensivo
Volante por derecha,Centros totales ganados por un compañero,Ofensivo
Volante defensivo,1 vs 1 Exitosos Ofensivos,Ofensivo
Lateral por izquierda,Centros totales ganados por un compañero,Ofensivo
Volante ofensivo,1 vs 1 Exitosos Ofensivos,Ofensivo
Volante por izquierda,Centros totales ganados por un compañero,Ofensivo
Delantero,Balones Recuperados 2/4 De Cancha,Defensivo
Defensa central,Balones Recuperados 2/4 De Cancha,Defensivo
Lateral por derecha,Balones Recuperados 2/4 De Cancha,Defensivo
Volante por derecha,Balones Recuperados 2/4 De Cancha,Defensivo
Volante defensivo,Balones Recuperados 2/4 De Cancha,Defensivo
Lateral por izquierda,Balones Recuperados 2/4 De Cancha,Defensivo
Volante ofensivo,Balones Recuperados 2/4 De Cancha,Defensivo
Volante por izquierda,Balones Recuperados 2/4 De Cancha,Defensivo
Delantero,Pases Acertados Cancha Propia 1/4,Posesión
Defensa central,Pases Acertados Cancha Propia 1/4,Posesión
